,TLT,TLT,TLT,TLT,TLT,BND,BND,BND,BND,BND,TIP,TIP,TIP,TIP,TIP,PHB,PHB,PHB,PHB,PHB,BWX,BWX,BWX,BWX,BWX,VCSH,VCSH,VCSH,VCSH,VCSH
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-24,125.14224981983484,125.42751688358457,125.01862441886091,125.32291412353516,6389700,77.3637641048169,77.43837824602694,77.34511412731247,77.37309265136719,2535800.0,104.51242174426385,104.6303074516375,104.46707736219172,104.52149200439453,662200,17.02439746538619,17.042394069037638,17.02439746538619,17.033395767211914,144500.0,27.87848854064941,27.897889463997107,27.80088669743251,27.878488540649414,123000.0,75.68307577482072,75.71122355294615,75.65492083805385,75.67369079589844,1299100.0
2019-07-25,124.80939602140698,124.96154810086668,124.10570353642161,124.72381591796875,8893100,77.34511873357087,77.36376871218599,77.1585904850333,77.2891616821289,2199000.0,104.44895713555705,104.48523126214351,104.2857270252091,104.34920501708984,669500,17.04240304623675,17.051401352802394,17.02440643310547,17.02440643310547,92800.0,27.907597351090104,27.907597351090104,27.762094087615864,27.81059455871582,98400.0,75.67368011948734,75.67368011948734,75.57985181942652,75.62676239013672,1117100.0
2019-07-26,125.23729472202623,125.3133707518384,124.80937975059942,125.01858520507812,6188400,77.33579018646502,77.33579018646502,77.25185460930209,77.2891616821289,2413500.0,104.44894983469419,104.45802009535235,104.19503788491934,104.27664947509766,472600,17.042402831853213,17.06039772850664,17.042402831853213,17.051401138305664,115100.0,27.77179026833802,27.781490731742934,27.73299026489258,27.732990264892578,82600.0,75.63614443073507,75.6549072265625,75.57984888461266,75.6549072265625,1424900.0
2019-07-29,125.35146368204985,125.47507458122648,124.95206074617286,125.0566635131836,6231800,77.37308434931685,77.3824128948662,77.29847021611283,77.33577728271484,1771900.0,104.36734547675174,104.37641573863972,104.18598175048828,104.18598175048828,620600,17.05139237086336,17.0603889564385,17.033395767211914,17.033395767211914,346800.0,27.74268756845825,27.771787105184398,27.68448664483196,27.694185256958008,607700.0,75.66429220379628,75.67367718103007,75.64552940796887,75.6549072265625,924500.0
2019-07-30,125.52257989393271,125.6176785614965,124.98054360685411,125.36092376708984,5678500,77.35445337703655,77.36377480928046,77.26118212982043,77.31714630126953,1968800.0,104.34010314941406,104.40358112206626,104.23128772119894,104.34010314941406,924200,17.006409819974184,17.03340473967111,17.006409819974184,17.02440643310547,181900.0,27.713588056012288,27.771788983575096,27.70388759305613,27.752389907836914,122600.0,75.65487282111692,75.65487282111692,75.58919232763013,75.61734008789062,842200.0
2019-07-31,125.23734965846657,126.7873686120283,125.19931888188748,126.36895751953125,15798700,77.33578624877046,77.5503001277032,77.20521505832312,77.410400390625,2628700.0,104.37640095946911,104.79354300567601,104.25851524594815,104.50335693359375,1327500,17.05139237086336,17.07838556008995,16.97940767250816,17.033395767211914,483700.0,27.752387146612318,27.820288530375432,27.62628299090315,27.665084838867188,182400.0,75.66425779408272,75.72055331460372,75.50474904684863,75.61734008789062,1231500.0
2019-08-01,127.09689012473983,129.00253358686285,126.97301864725196,128.878662109375,26664800,77.56279814940203,78.00216911812599,77.53475440794006,77.96477508544922,3278400.0,104.33971803679137,104.99417159333062,104.2760909929516,104.88509368896484,2549100,17.024406591460785,17.096391328404003,17.024406591460785,17.06039810180664,694400.0,27.595172762821665,27.808787085250305,27.575752773875767,27.769948959350586,270100.0,75.67098430861816,75.90616264654692,75.66157516552049,75.88734436035156,1349400.0
2019-08-02,129.2597516650942,130.06964111328125,129.0120088018484,130.06964111328125,15143100,78.00214912876154,78.07693004276875,77.93671137139235,78.03954315185547,5392400.0,104.91239671940113,104.98511534677108,104.63062070688008,104.95784759521484,2097600,17.04240304623675,17.060397943116545,17.02440643310547,17.02440643310547,225100.0,27.81850614183455,27.94473425911067,27.81850614183455,27.93502426147461,78000.0,75.8685531616211,75.89677342124673,75.82151461086157,75.8685531616211,984500.0
2019-08-05,131.6227428141032,132.3373588380408,131.16539262967515,132.31829833984375,18543000,78.3013024521173,78.43217798067978,78.24520784546095,78.37608337402344,4284300.0,105.10327052483125,105.36687032938991,105.03964346406396,105.32142639160156,3091200,16.97941537983435,16.97941537983435,16.89843234289346,16.90743064880371,105800.0,28.04182567165243,28.14863377514588,28.02240753173828,28.02240753173828,105700.0,75.9814525653592,76.05671139393495,75.93442118030706,76.04730224609375,2587100.0
2019-08-06,131.67995511147151,133.3759765625,131.57514414364817,133.3759765625,12747400,78.40414101336037,78.5911040325414,78.36674698308776,78.5724105834961,4939700.0,105.27597547490905,105.7122802734375,105.23052460231023,105.7122802734375,2889600,16.96142118651671,16.988414391845012,16.934426264936793,16.97941780090332,211200.0,28.0709489201651,28.11949703628346,28.05152893292099,28.10978889465332,162700.0,76.0661040466066,76.08491516113281,75.99084523435096,76.08491516113281,2091300.0
2019-08-07,135.6817816432244,136.3106473497156,133.18539385787827,133.42359924316406,32582000,78.94633662185817,78.99308094274443,78.55371000226879,78.5724105834961,5516400.0,106.23038006829546,106.42126123568875,105.65772963128663,105.76680755615234,2157800,16.952421347785645,17.01540777619677,16.93442473502491,16.988412857055664,300800.0,28.284570762597124,28.30399075501727,28.206892644908955,28.2263126373291,74400.0,76.17899226499004,76.21661449404249,76.0566949008058,76.08491516113281,1153700.0
2019-08-08,132.57559736278608,133.8047308344926,131.4703208131111,133.70945739746094,14746000,78.43214625396125,78.68454691918092,78.32931450423288,78.63780975341797,3244200.0,105.62136120428833,106.06675749124881,105.48502247851305,106.03948974609375,1248300,17.006409819974184,17.04240304623675,16.988413206842903,17.02440643310547,290600.0,28.197181384907626,28.216599523189657,28.148631409222027,28.187471389770508,184000.0,76.04726199971653,76.10370967981306,76.00963978241631,76.05667114257812,1289600.0
2019-08-09,134.03340216369529,134.8718897580604,133.2711420359909,133.44265747070312,10626000,78.67523183644927,78.7500127547873,78.47891142079142,78.49761199951172,2832800.0,106.13039264805765,106.33945000010031,105.86679286671041,105.930419921875,678100,17.03339653732644,17.05139314179155,17.015399932861328,17.015399932861328,153700.0,28.236019513463898,28.245729508601016,28.187471389770504,28.187471389770508,114800.0,76.09431703260023,76.09431703260023,75.96261771228052,76.01905822753906,1393100.0
2019-08-12,135.03388747003294,136.66320437470995,134.8337885233491,136.22491455078125,14094300,78.74067357055492,78.90894312662255,78.69392925357668,78.84349822998047,3008000.0,106.28493212892484,106.49399645046175,106.14858643529904,106.35765075683594,543200,16.997411163436034,17.033404388957507,16.97041796054638,16.988412857055664,742900.0,28.26515032277188,28.352538429561015,28.216600345671107,28.333118438720703,459700.0,76.06608546925628,76.14134426313173,76.05667632575346,76.1319351196289,997200.0
2019-08-13,137.0252498737863,137.12053783398218,135.25300140201384,135.75799560546875,15974900,78.88088886389164,78.90893973218076,78.64718155341677,78.72196960449219,3299800.0,106.53034722797179,106.54853035209122,106.03042227196661,106.18494415283203,1379100,16.979416616528752,17.04240304623675,16.979416616528752,17.02440643310547,495900.0,28.371964547380685,28.391384543682427,28.19719013664334,28.284576416015625,91100.0,76.08491044399136,76.12253984778621,75.99084052304168,76.00965881347656,757200.0
2019-08-14,138.3116254475823,138.85472635053702,137.88285851600583,138.81661987304688,15068900,79.02111196410303,79.06785627746588,78.9463239155948,79.0024185180664,3395400.0,106.52127154531,106.57580705258773,106.30311564653802,106.38492584228516,619300,16.988409082874963,16.99740738725625,16.92542266845703,16.92542266845703,249400.0,28.37196007263302,28.37196007263302,28.28457195505057,28.32341194152832,1239900.0,76.07552968961734,76.1131591039052,76.02849112748827,76.04730224609375,1058800.0
2019-08-15,139.06430007080638,141.58928586090556,138.71176075544386,140.36013793945312,23588700,79.15197389002607,79.47916263083489,79.08653614186431,79.38568115234375,4358100.0,106.52124013256407,107.06661584900354,106.37580290960503,106.85755157470703,772700,16.970419493710015,16.997412699038318,16.96142118651671,16.97941780090332,111700.0,28.333116092265062,28.498182296752933,28.333116092265062,28.49818229675293,105200.0,76.09430415631286,76.23541259765625,76.08489501300372,76.23541259765625,1635700.0
2019-08-16,139.1691200945149,139.59788690526992,138.00667658337233,139.23582458496094,17150500,79.24546484869317,79.32960318192646,79.07719531440709,79.30155944824219,3913600.0,106.52127045464815,106.62125684018726,106.31220612083989,106.54853820800781,548500,16.99741229177718,17.024407212710294,16.99741229177718,17.006410598754883,160200.0,28.34283504570917,28.430223172883437,28.303995054968297,28.362253189086914,149500.0,76.18836731296946,76.2636260986328,76.15073792013779,76.26362609863281,1679100.0
2019-08-19,136.796602512162,137.83517455484088,136.73942100414263,137.24441528320312,13614700,79.03047037040275,79.12395187454905,78.99307634230792,79.04916381835938,3640100.0,106.09405458249574,106.35765441662147,106.09405458249574,106.14859008789062,600000,17.02717197410417,17.05425545011534,17.02717197410417,17.04522705078125,115600.0,28.24572727913506,28.27485726224716,28.177759170532227,28.177759170532227,104500.0,76.22601994157505,76.23542908691934,76.17898856900362,76.19779968261719,834100.0
2019-08-20,138.4259181398799,138.74987398811888,138.00667431796896,138.66412353515625,7451500,79.21739724872569,79.25479125976562,79.16130979825495,79.25479125976562,2568100.0,106.40308229422774,106.46670935252513,106.25765199018912,106.28491973876953,607000,17.06328773498535,17.081344537765304,17.054259333595375,17.06328773498535,303700.0,28.27486665576602,28.36225293014979,28.226316667783173,28.3525447845459,88900.0,76.28243388971694,76.31066131591797,76.28243388971694,76.31066131591797,1088800.0
2019-08-21,137.89229253590048,138.91180371371146,137.482571837957,137.73983764648438,9372000,79.18000558501947,79.35762535968023,79.13326841896775,79.21739959716797,2532300.0,106.17582702636719,106.58486400260942,106.10311535188642,106.17582702636719,938100,17.099394835077106,17.13550670490675,17.090366437121986,17.108423233032227,108200.0,28.342821803860218,28.342821803860218,28.245723724365234,28.245723724365234,82000.0,76.28246562857434,76.32009503542635,76.24484339879783,76.27306365966797,1022100.0
2019-08-22,137.2063181584895,137.87329040842346,136.71084682757945,136.8251953125,13878800,79.13327832257673,79.2454532408825,79.03044655934347,79.06784057617188,3232600.0,106.07583886020647,106.26672694008892,105.79406292248274,106.08493041992188,961300,17.117458408136912,17.144543615450587,17.117458408136912,17.135515213012695,63100.0,28.187469799722145,28.26514790444509,28.16804981054338,28.197179794311523,257100.0,76.27305172906989,76.31068113003592,76.22601318359375,76.22601318359375,1092800.0
